,MonthlyIncomeRange,YearsWithCurrManager,YearsSinceLastPromotion,YearsInCurrentRole,YearsAtCompany,WorkLifeBalance,TrainingTimesLastYear,TotalWorkingYears,StockOptionLevel,RelationshipSatisfaction,PerformanceRating,PercentSalaryHike,OverTime,NumCompaniesWorked,MaritalStatus,JobSatisfaction,JobRole,JobLevel,JobInvolvement,Gender,EnvironmentSatisfaction,EducationField,Education,DistanceFromHome,Department,BusinessTravel,Age,Attrition,DailyRate,EmployeeCount,EmployeeNumber,HourlyRate,MonthlyIncome,MonthlyRate,Over18,StandardHours,Attrition2,AgeAttritionRate,BusinessTravelAttritionRate,DepartmentAttritionRate,DistanceFromHomeAttritionRate,EducationAttritionRate,EducationFieldAttritionRate,EnvironmentSatisfactionAttritionRate,GenderAttritionRate,JobInvolvementAttritionRate,JobLevelAttritionRate,JobRoleAttritionRate,JobSatisfactionAttritionRate,MaritalStatusAttritionRate,NumCompaniesWorkedAttritionRate,OverTimeAttritionRate,PercentSalaryHikeAttritionRate,PerformanceRatingAttritionRate,RelationshipSatisfactionAttritionRate,StockOptionLevelAttritionRate,TotalWorkingYearsAttritionRate,TrainingTimesLastYearAttritionRate,WorkLifeBalanceAttritionRate,YearsAtCompanyAttritionRate,YearsInCurrentRoleAttritionRate,YearsSinceLastPromotionAttritionRate,YearsWithCurrManagerAttritionRate,MonthlyIncomeRangeAttritionRate,TotalAttritionScore
258,18501 to 19000,2,1,2,3,3,4,22,0,4,3,11,Yes,9,Single,1,Research Director,5,3,Female,3,Life Sciences,4,10,Research & Development,Travel_Frequently,49,No,636,1,396,35,18665,25594,Y,80,0,0.083333333,0.249097473,0.138397503,0.127906977,0.145728643,0.146864686,0.136865342,0.147959184,0.144009217,0.072463768,0.025,0.228373702,0.255319149,0.230769231,0.305288462,0.195238095,0.160771704,0.148148148,0.244057052,0.095238095,0.211382114,0.142217245,0.15625,0.182795699,0.137254902,0.145348837,0.1,4.4
259,18501 to 19000,7,4,7,7,3,6,26,1,2,3,18,No,3,Divorced,3,Manager,5,3,Female,4,Medical,2,7,Research & Development,Travel_Rarely,53,No,1223,1,1201,50,18606,18640,Y,80,0,0.105263158,0.149568552,0.138397503,0.130952381,0.156028369,0.135775862,0.134529148,0.147959184,0.144009217,0.072463768,0.049019608,0.165158371,0.100917431,0.100628931,0.104364326,0.146067416,0.160771704,0.148514851,0.093959732,0.071428571,0.092307692,0.142217245,0.122222222,0.13963964,0.081967213,0.143518519,0.1,3.3
260,18501 to 19000,14,4,6,22,2,2,24,0,1,3,11,No,5,Married,3,Manager,5,3,Male,1,Life Sciences,3,2,Research & Development,Travel_Rarely,42,No,300,1,2031,56,18880,17312,Y,80,0,0.043478261,0.149568552,0.138397503,0.132701422,0.173076923,0.146864686,0.253521127,0.170068027,0.144009217,0.072463768,0.049019608,0.165158371,0.124814264,0.253968254,0.104364326,0.195238095,0.160771704,0.206521739,0.244057052,0.166666667,0.179159049,0.168604651,0.066666667,0.054054054,0.081967213,0.4,0.1,4.1
261,18501 to 19000,8,13,3,27,2,2,29,1,4,3,12,Yes,5,Divorced,3,Research Director,5,2,Female,2,Medical,2,7,Research & Development,Travel_Rarely,50,No,989,1,80,43,18740,16701,Y,80,0,0.166666667,0.149568552,0.138397503,0.130952381,0.156028369,0.135775862,0.149825784,0.147959184,0.189333333,0.072463768,0.025,0.165158371,0.100917431,0.253968254,0.305288462,0.166666667,0.160771704,0.148148148,0.093959732,0,0.179159049,0.168604651,0,0.118518519,0.2,0.093457944,0.1,3.7
262,18501 to 19000,11,1,10,24,3,2,26,0,1,3,16,Yes,2,Single,2,Manager,5,1,Female,1,Marketing,3,2,Sales,Travel_Rarely,45,Yes,1449,1,1277,94,18824,2493,Y,80,1,0.048780488,0.149568552,0.206278027,0.132701422,0.173076923,0.220125786,0.253521127,0.147959184,0.337349398,0.072463768,0.049019608,0.164285714,0.255319149,0.109589041,0.305288462,0.179487179,0.160771704,0.206521739,0.244057052,0.071428571,0.179159049,0.142217245,0.166666667,0.068965517,0.137254902,0.045454545,0.1,4.3
263,18501 to 19000,8,0,4,11,3,2,26,1,3,3,14,No,2,Married,2,Manager,5,2,Female,4,Marketing,2,4,Sales,Travel_Rarely,46,No,168,1,1280,33,18789,9946,Y,80,0,0.121212121,0.149568552,0.206278027,0.140625,0.156028369,0.220125786,0.134529148,0.147959184,0.189333333,0.072463768,0.049019608,0.164285714,0.124814264,0.109589041,0.104364326,0.119402985,0.160771704,0.154684096,0.093959732,0.071428571,0.179159049,0.142217245,0.0625,0.144230769,0.189328744,0.093457944,0.1,3.6
264,18501 to 19000,0,0,0,1,4,2,23,1,3,3,13,No,2,Married,3,Manager,5,2,Male,1,Medical,2,4,Research & Development,Travel_Rarely,49,No,1098,1,1256,85,18711,12124,Y,80,0,0.083333333,0.149568552,0.138397503,0.140625,0.156028369,0.135775862,0.253521127,0.170068027,0.189333333,0.072463768,0.049019608,0.165158371,0.124814264,0.109589041,0.104364326,0.162679426,0.160771704,0.154684096,0.093959732,0.090909091,0.179159049,0.176470588,0.34502924,0.299180328,0.189328744,0.323193916,0.1,4.3
265,19001 to 19500,3,13,9,21,3,2,21,1,1,3,15,No,1,Married,4,Manager,5,2,Male,3,Medical,2,7,Research & Development,Travel_Frequently,39,No,672,1,444,54,19272,21141,Y,80,0,0.142857143,0.249097473,0.138397503,0.130952381,0.156028369,0.135775862,0.136865342,0.170068027,0.189333333,0.072463768,0.049019608,0.11328976,0.124814264,0.188099808,0.104364326,0.178217822,0.160771704,0.206521739,0.093959732,0.029411765,0.179159049,0.142217245,0.071428571,0.089552239,0.2,0.133802817,0.038461538,3.6
266,19001 to 19500,6,1,4,10,2,4,28,2,1,3,14,No,3,Divorced,2,Research Director,5,3,Male,1,Life Sciences,1,4,Research & Development,Travel_Rarely,50,No,797,1,385,96,19144,15815,Y,80,0,0.166666667,0.149568552,0.138397503,0.140625,0.182352941,0.146864686,0.253521127,0.170068027,0.144009217,0.072463768,0.025,0.164285714,0.100917431,0.100628931,0.104364326,0.119402985,0.160771704,0.206521739,0.075949367,0.071428571,0.211382114,0.168604651,0.15,0.144230769,0.137254902,0.137931034,0.038461538,3.7
267,19001 to 19500,8,4,13,14,2,3,26,1,4,3,11,No,4,Divorced,3,Manager,5,3,Female,3,Other,3,5,Research & Development,Travel_Rarely,53,No,1282,1,32,58,19094,10735,Y,80,0,0.105263158,0.149568552,0.138397503,0.153846154,0.173076923,0.134146341,0.136865342,0.147959184,0.144009217,0.072463768,0.049019608,0.165158371,0.100917431,0.122302158,0.104364326,0.195238095,0.160771704,0.148148148,0.093959732,0.071428571,0.140529532,0.168604651,0.111111111,0.071428571,0.081967213,0.093457944,0.038461538,3.3
268,19001 to 19500,10,1,7,22,2,4,23,1,4,3,14,Yes,0,Divorced,4,Research Director,5,3,Female,2,Medical,3,7,Research & Development,Travel_Rarely,44,No,1313,1,1608,31,19049,3549,Y,80,0,0.181818182,0.149568552,0.138397503,0.130952381,0.173076923,0.135775862,0.149825784,0.147959184,0.144009217,0.072463768,0.025,0.11328976,0.100917431,0.116751269,0.305288462,0.119402985,0.160771704,0.148148148,0.093959732,0.090909091,0.211382114,0.168604651,0.066666667,0.13963964,0.137254902,0.111111111,0.038461538,3.6
269,19001 to 19500,7,1,0,24,3,2,25,1,3,3,11,No,0,Married,4,Manager,5,4,Male,3,Other,3,1,Research & Development,Travel_Rarely,45,No,252,1,336,70,19202,15970,Y,80,0,0.048780488,0.149568552,0.138397503,0.125,0.173076923,0.134146341,0.136865342,0.170068027,0.090277778,0.072463768,0.049019608,0.11328976,0.124814264,0.116751269,0.104364326,0.195238095,0.160771704,0.154684096,0.093959732,0.071428571,0.179159049,0.142217245,0.166666667,0.299180328,0.137254902,0.143518519,0.038461538,3.5
270,19001 to 19500,2,1,2,4,2,4,24,1,3,3,11,No,4,Married,1,Research Director,5,3,Male,1,Medical,2,5,Research & Development,Travel_Rarely,54,No,821,1,522,86,19406,8509,Y,80,0,0,0.149568552,0.138397503,0.153846154,0.156028369,0.135775862,0.253521127,0.170068027,0.144009217,0.072463768,0.025,0.228373702,0.124814264,0.122302158,0.104364326,0.195238095,0.160771704,0.154684096,0.093959732,0.166666667,0.211382114,0.168604651,0.172727273,0.182795699,0.137254902,0.145348837,0.038461538,3.8
271,19001 to 19500,3,0,2,4,3,2,25,1,1,3,11,No,5,Married,2,Research Director,5,3,Male,4,Life Sciences,2,15,Research & Development,Travel_Rarely,46,No,1450,1,1217,52,19081,10849,Y,80,0,0.121212121,0.149568552,0.138397503,0.192307692,0.156028369,0.146864686,0.134529148,0.170068027,0.144009217,0.072463768,0.025,0.164285714,0.124814264,0.253968254,0.104364326,0.195238095,0.160771704,0.206521739,0.093959732,0.071428571,0.179159049,0.142217245,0.172727273,0.182795699,0.189328744,0.133802817,0.038461538,3.9
272,19001 to 19500,12,15,7,33,4,2,33,0,4,3,18,Yes,1,Single,3,Manager,5,2,Male,1,Life Sciences,4,2,Sales,Non-Travel,52,No,771,1,329,79,19068,21030,Y,80,0,0.166666667,0.08,0.206278027,0.132701422,0.145728643,0.146864686,0.253521127,0.170068027,0.189333333,0.072463768,0.049019608,0.165158371,0.255319149,0.188099808,0.305288462,0.146067416,0.160771704,0.148148148,0.244057052,0.142857143,0.179159049,0.176470588,0.2,0.13963964,0.230769231,0,0.038461538,4.3
273,19001 to 19500,0,0,0,1,3,2,34,3,2,3,12,No,8,Married,1,Research Director,5,2,Male,3,Medical,3,2,Research & Development,Travel_Rarely,55,No,478,1,1770,60,19038,19805,Y,80,0,0.136363636,0.149568552,0.138397503,0.132701422,0.173076923,0.135775862,0.136865342,0.170068027,0.189333333,0.072463768,0.025,0.228373702,0.124814264,0.12244898,0.104364326,0.166666667,0.160771704,0.148514851,0.176470588,0.2,0.179159049,0.142217245,0.34502924,0.299180328,0.189328744,0.323193916,0.038461538,4.4
274,19001 to 19500,3,1,0,6,2,3,21,0,3,3,13,No,2,Single,4,Manager,5,3,Male,4,Life Sciences,3,9,Research & Development,Non-Travel,39,No,105,1,2022,87,19431,15302,Y,80,0,0.142857143,0.08,0.138397503,0.211764706,0.173076923,0.146864686,0.134529148,0.170068027,0.144009217,0.072463768,0.049019608,0.11328976,0.255319149,0.109589041,0.104364326,0.162679426,0.160771704,0.154684096,0.244057052,0.029411765,0.140529532,0.168604651,0.118421053,0.299180328,0.137254902,0.133802817,0.038461538,3.8
275,19001 to 19500,6,1,8,21,3,3,21,1,3,3,14,Yes,1,Divorced,3,Manager,5,3,Male,2,Life Sciences,1,1,Research & Development,Travel_Frequently,39,No,1218,1,531,52,19197,8213,Y,80,0,0.142857143,0.249097473,0.138397503,0.125,0.182352941,0.146864686,0.149825784,0.170068027,0.144009217,0.072463768,0.049019608,0.165158371,0.100917431,0.188099808,0.305288462,0.119402985,0.160771704,0.154684096,0.093959732,0.029411765,0.140529532,0.142217245,0.071428571,0.078651685,0.137254902,0.137931034,0.038461538,3.6
276,19001 to 19500,8,13,15,31,3,2,40,0,4,3,12,Yes,7,Single,2,Research Director,5,3,Male,4,Life Sciences,4,2,Research & Development,Travel_Rarely,58,Yes,286,1,825,31,19246,25761,Y,80,1,0.357142857,0.149568552,0.138397503,0.132701422,0.145728643,0.146864686,0.134529148,0.170068027,0.144009217,0.072463768,0.025,0.164285714,0.255319149,0.22972973,0.305288462,0.166666667,0.160771704,0.148148148,0.244057052,1,0.179159049,0.142217245,0.333333333,0.25,0.2,0.093457944,0.038461538,5.5
277,19001 to 19500,7,7,1,8,2,2,29,1,4,3,11,Yes,2,Married,3,Research Director,5,3,Male,2,Medical,4,2,Research & Development,Travel_Rarely,50,No,1464,1,1061,62,19237,12853,Y,80,0,0.166666667,0.149568552,0.138397503,0.132701422,0.145728643,0.135775862,0.149825784,0.170068027,0.144009217,0.072463768,0.025,0.165158371,0.124814264,0.109589041,0.305288462,0.195238095,0.160771704,0.148148148,0.093959732,0,0.179159049,0.168604651,0.1125,0.192982456,0.210526316,0.143518519,0.038461538,3.8
278,19001 to 19500,2,2,1,2,3,3,24,1,3,3,17,Yes,7,Divorced,4,Research Director,5,3,Male,3,Medical,4,2,Research & Development,Travel_Rarely,46,No,734,1,1789,46,19328,14218,Y,80,0,0.121212121,0.149568552,0.138397503,0.132701422,0.145728643,0.135775862,0.136865342,0.170068027,0.144009217,0.072463768,0.025,0.11328976,0.100917431,0.22972973,0.305288462,0.170731707,0.160771704,0.154684096,0.093959732,0.166666667,0.140529532,0.142217245,0.212598425,0.192982456,0.169811321,0.145348837,0.038461538,3.9
279,19001 to 19500,10,2,7,22,3,3,22,1,2,3,12,No,1,Married,3,Manager,5,2,Male,4,Human Resources,3,1,Human Resources,Travel_Rarely,41,No,314,1,734,59,19189,19562,Y,80,0,0.15,0.149568552,0.19047619,0.125,0.173076923,0.259259259,0.134529148,0.170068027,0.189333333,0.072463768,0.049019608,0.165158371,0.124814264,0.188099808,0.104364326,0.166666667,0.160771704,0.148514851,0.093959732,0.095238095,0.140529532,0.142217245,0.066666667,0.13963964,0.169811321,0.111111111,0.038461538,3.7
280,19001 to 19500,6,12,6,21,2,2,23,3,2,3,15,No,3,Divorced,4,Manager,5,2,Male,2,Human Resources,4,10,Human Resources,Travel_Rarely,41,No,427,1,731,73,19141,8861,Y,80,0,0.15,0.149568552,0.19047619,0.127906977,0.145728643,0.259259259,0.149825784,0.170068027,0.189333333,0.072463768,0.049019608,0.11328976,0.100917431,0.100628931,0.104364326,0.178217822,0.160771704,0.148514851,0.176470588,0.090909091,0.179159049,0.168604651,0.071428571,0.054054054,0,0.137931034,0.038461538,3.5
281,19001 to 19500,3,4,4,5,3,3,28,0,4,3,15,No,3,Married,4,Research Director,5,3,Male,2,Life Sciences,1,2,Research & Development,Travel_Frequently,49,No,1064,1,1941,42,19161,13738,Y,80,0,0.083333333,0.249097473,0.138397503,0.132701422,0.182352941,0.146864686,0.149825784,0.170068027,0.144009217,0.072463768,0.025,0.11328976,0.124814264,0.100628931,0.104364326,0.178217822,0.160771704,0.148148148,0.244057052,0.071428571,0.140529532,0.142217245,0.107142857,0.144230769,0.081967213,0.133802817,0.038461538,3.5
282,19001 to 19500,9,3,7,21,3,5,22,1,4,3,19,No,0,Divorced,3,Research Director,5,3,Male,1,Medical,2,2,Research & Development,Travel_Rarely,40,No,1416,1,352,49,19436,5949,Y,80,0,0.087719298,0.149568552,0.138397503,0.132701422,0.156028369,0.135775862,0.253521127,0.170068027,0.144009217,0.072463768,0.025,0.165158371,0.100917431,0.116751269,0.104364326,0.118421053,0.160771704,0.148148148,0.093959732,0.095238095,0.117647059,0.142217245,0.071428571,0.13963964,0.173076923,0.09375,0.038461538,3.3
283,19001 to 19500,9,9,8,20,3,2,21,1,2,3,14,No,1,Married,3,Manager,5,3,Female,4,Medical,1,4,Research & Development,Travel_Rarely,40,No,989,1,253,46,19033,6499,Y,80,0,0.087719298,0.149568552,0.138397503,0.140625,0.182352941,0.135775862,0.134529148,0.147959184,0.144009217,0.072463768,0.049019608,0.165158371,0.124814264,0.188099808,0.104364326,0.119402985,0.160771704,0.148514851,0.093959732,0.029411765,0.179159049,0.142217245,0.037037037,0.078651685,0.235294118,0.09375,0.038461538,3.3
284,19001 to 19500,15,11,17,22,3,3,22,0,4,3,11,No,1,Married,4,Manager,5,3,Male,3,Technical Degree,2,4,Research & Development,Travel_Rarely,42,No,532,1,319,58,19232,4933,Y,80,0,0.043478261,0.149568552,0.138397503,0.140625,0.156028369,0.242424242,0.136865342,0.170068027,0.144009217,0.072463768,0.049019608,0.11328976,0.124814264,0.188099808,0.104364326,0.195238095,0.160771704,0.148148148,0.244057052,0.095238095,0.140529532,0.142217245,0.066666667,0,0.083333333,0,0.038461538,3.3
285,19001 to 19500,11,0,16,18,4,2,21,1,2,3,17,No,2,Divorced,3,Research Director,5,3,Male,1,Medical,3,9,Research & Development,Travel_Frequently,41,No,840,1,999,64,19419,3735,Y,80,0,0.15,0.249097473,0.138397503,0.211764706,0.173076923,0.135775862,0.253521127,0.170068027,0.144009217,0.072463768,0.025,0.165158371,0.100917431,0.109589041,0.104364326,0.170731707,0.160771704,0.148514851,0.093959732,0.029411765,0.179159049,0.176470588,0.076923077,0,0.189328744,0.045454545,0.038461538,3.5
286,19001 to 19500,13,14,9,25,2,4,26,2,4,3,14,No,1,Divorced,1,Manager,5,4,Male,3,Life Sciences,2,4,Research & Development,Travel_Rarely,44,No,1199,1,1288,92,19190,17477,Y,80,0,0.181818182,0.149568552,0.138397503,0.140625,0.156028369,0.146864686,0.136865342,0.170068027,0.090277778,0.072463768,0.049019608,0.228373702,0.100917431,0.188099808,0.104364326,0.119402985,0.160771704,0.148148148,0.075949367,0.071428571,0.211382114,0.168604651,0,0.089552239,0.111111111,0,0.038461538,3.2
287,19001 to 19500,11,9,9,19,3,5,23,1,4,3,14,No,4,Married,3,Manager,5,1,Female,4,Medical,2,2,Research & Development,Travel_Rarely,55,No,282,1,1336,58,19187,6992,Y,80,0,0.136363636,0.149568552,0.138397503,0.132701422,0.156028369,0.135775862,0.134529148,0.147959184,0.337349398,0.072463768,0.049019608,0.165158371,0.124814264,0.122302158,0.104364326,0.119402985,0.160771704,0.148148148,0.093959732,0.090909091,0.117647059,0.142217245,0.090909091,0.089552239,0.235294118,0.045454545,0.038461538,3.5
288,19001 to 19500,0,0,0,1,3,2,27,1,3,3,16,Yes,4,Married,3,Manager,5,3,Male,3,Marketing,3,9,Sales,Travel_Rarely,50,No,264,1,1591,59,19331,19519,Y,80,0,0.166666667,0.149568552,0.206278027,0.211764706,0.173076923,0.220125786,0.136865342,0.170068027,0.144009217,0.072463768,0.049019608,0.165158371,0.124814264,0.122302158,0.305288462,0.179487179,0.160771704,0.154684096,0.093959732,0,0.179159049,0.142217245,0.34502924,0.299180328,0.189328744,0.323193916,0.038461538,4.5
289,19001 to 19500,14,6,12,16,3,2,21,0,4,3,13,No,7,Married,3,Manager,5,2,Female,1,Medical,3,6,Research & Development,Travel_Rarely,43,No,823,1,1866,81,19392,22539,Y,80,0,0.0625,0.149568552,0.138397503,0.118644068,0.173076923,0.135775862,0.253521127,0.147959184,0.189333333,0.072463768,0.049019608,0.165158371,0.124814264,0.22972973,0.104364326,0.162679426,0.160771704,0.148148148,0.244057052,0.029411765,0.179159049,0.142217245,0.083333333,0.1,0.1875,0.4,0.038461538,4
290,19001 to 19500,13,4,10,36,3,2,37,0,3,3,14,Yes,0,Single,1,Manager,5,3,Male,4,Medical,3,1,Research & Development,Travel_Rarely,55,No,452,1,374,81,19045,18938,Y,80,0,0.136363636,0.149568552,0.138397503,0.125,0.173076923,0.135775862,0.134529148,0.170068027,0.144009217,0.072463768,0.049019608,0.228373702,0.255319149,0.116751269,0.305288462,0.119402985,0.160771704,0.154684096,0.244057052,0,0.179159049,0.142217245,0,0.068965517,0.081967213,0,0.038461538,3.5
291,19501 to 20000,4,4,4,5,3,5,21,0,2,3,15,No,3,Single,2,Manager,5,3,Female,3,Life Sciences,3,11,Research & Development,Travel_Rarely,50,No,1452,1,226,53,19926,17053,Y,80,0,0.166666667,0.149568552,0.138397503,0.137931034,0.173076923,0.146864686,0.136865342,0.147959184,0.144009217,0.072463768,0.049019608,0.164285714,0.255319149,0.100628931,0.104364326,0.178217822,0.160771704,0.148514851,0.244057052,0.029411765,0.117647059,0.142217245,0.107142857,0.144230769,0.081967213,0.112244898,0.125,3.7
292,19501 to 20000,5,1,8,9,3,3,32,1,3,4,21,Yes,3,Married,1,Research Director,5,3,Female,4,Medical,3,1,Research & Development,Travel_Rarely,58,No,1055,1,1423,76,19701,22456,Y,80,0,0.357142857,0.149568552,0.138397503,0.125,0.173076923,0.135775862,0.134529148,0.147959184,0.144009217,0.072463768,0.025,0.228373702,0.124814264,0.100628931,0.305288462,0.104166667,0.163716814,0.154684096,0.093959732,0,0.140529532,0.142217245,0.097560976,0.078651685,0.137254902,0.129032258,0.125,3.7
293,19501 to 20000,2,4,2,5,3,2,28,1,4,3,13,No,4,Divorced,1,Manager,5,3,Female,4,Technical Degree,4,4,Research & Development,Travel_Rarely,56,No,718,1,1191,92,19943,18575,Y,80,0,0.214285714,0.149568552,0.138397503,0.140625,0.145728643,0.242424242,0.134529148,0.147959184,0.144009217,0.072463768,0.049019608,0.228373702,0.100917431,0.122302158,0.104364326,0.162679426,0.160771704,0.148148148,0.093959732,0.071428571,0.179159049,0.142217245,0.107142857,0.182795699,0.081967213,0.145348837,0.125,3.7
294,19501 to 20000,6,0,0,7,2,3,32,1,3,3,11,No,3,Divorced,4,Manager,5,3,Female,4,Medical,4,1,Sales,Travel_Rarely,50,No,854,1,323,68,19517,24118,Y,80,0,0.166666667,0.149568552,0.206278027,0.125,0.145728643,0.135775862,0.134529148,0.147959184,0.144009217,0.072463768,0.049019608,0.11328976,0.100917431,0.100628931,0.104364326,0.195238095,0.160771704,0.154684096,0.093959732,0,0.140529532,0.168604651,0.122222222,0.299180328,0.189328744,0.137931034,0.125,3.7
295,19501 to 20000,10,11,8,29,1,5,33,0,4,3,11,No,5,Married,1,Manager,5,3,Female,1,Life Sciences,3,7,Research & Development,Travel_Rarely,60,No,422,1,549,41,19566,3854,Y,80,0,0,0.149568552,0.138397503,0.130952381,0.173076923,0.146864686,0.253521127,0.147959184,0.144009217,0.072463768,0.049019608,0.228373702,0.124814264,0.253968254,0.104364326,0.195238095,0.160771704,0.148148148,0.244057052,0.142857143,0.117647059,0.3125,0,0.078651685,0.083333333,0.111111111,0.125,3.8
296,19501 to 20000,10,11,10,29,2,5,31,1,1,4,24,Yes,4,Divorced,2,Manager,5,3,Male,4,Life Sciences,3,9,Sales,Travel_Frequently,51,No,237,1,1282,83,19847,19196,Y,80,0,0.105263158,0.249097473,0.206278027,0.211764706,0.173076923,0.146864686,0.134529148,0.170068027,0.144009217,0.072463768,0.049019608,0.164285714,0.100917431,0.122302158,0.305288462,0.285714286,0.163716814,0.206521739,0.093959732,0.111111111,0.117647059,0.168604651,0,0.068965517,0.083333333,0.111111111,0.125,3.9
297,19501 to 20000,8,12,8,21,2,3,21,0,2,3,14,No,1,Single,2,Manager,5,3,Male,2,Medical,4,7,Sales,Travel_Rarely,40,No,611,1,1740,88,19833,4349,Y,80,0,0.087719298,0.149568552,0.206278027,0.130952381,0.145728643,0.135775862,0.149825784,0.170068027,0.144009217,0.072463768,0.049019608,0.164285714,0.255319149,0.188099808,0.104364326,0.119402985,0.160771704,0.148514851,0.244057052,0.029411765,0.140529532,0.168604651,0.071428571,0.078651685,0,0.093457944,0.125,3.5
298,19501 to 20000,9,11,18,33,3,5,34,1,1,3,14,No,0,Married,3,Manager,5,2,Male,3,Life Sciences,4,1,Research & Development,Travel_Rarely,52,No,699,1,259,65,19999,5678,Y,80,0,0.166666667,0.149568552,0.138397503,0.125,0.145728643,0.146864686,0.136865342,0.170068027,0.189333333,0.072463768,0.049019608,0.165158371,0.124814264,0.116751269,0.104364326,0.119402985,0.160771704,0.206521739,0.093959732,0.2,0.117647059,0.142217245,0.2,0,0.083333333,0.09375,0.125,3.5
299,19501 to 20000,4,1,2,5,3,2,24,1,4,3,13,Yes,5,Married,1,Manager,5,3,Male,4,Medical,3,2,Research & Development,Travel_Rarely,55,Yes,725,1,787,78,19859,21199,Y,80,1,0.136363636,0.149568552,0.138397503,0.132701422,0.173076923,0.135775862,0.134529148,0.170068027,0.144009217,0.072463768,0.049019608,0.228373702,0.124814264,0.253968254,0.305288462,0.162679426,0.160771704,0.148148148,0.093959732,0.166666667,0.179159049,0.142217245,0.107142857,0.182795699,0.137254902,0.112244898,0.125,4.1
300,19501 to 20000,9,0,9,31,3,5,31,1,3,3,17,Yes,1,Divorced,3,Research Director,5,2,Male,4,Life Sciences,4,18,Research & Development,Travel_Rarely,49,No,1245,1,638,58,19502,2125,Y,80,0,0.083333333,0.149568552,0.138397503,0.153846154,0.145728643,0.146864686,0.134529148,0.170068027,0.189333333,0.072463768,0.025,0.165158371,0.100917431,0.188099808,0.305288462,0.170731707,0.160771704,0.154684096,0.093959732,0.111111111,0.117647059,0.142217245,0.333333333,0.089552239,0.189328744,0.09375,0.125,4
301,19501 to 20000,7,7,3,7,3,4,36,0,1,3,14,No,6,Single,2,Manager,5,3,Male,4,Life Sciences,4,8,Human Resources,Travel_Rarely,56,No,206,1,1338,99,19717,4022,Y,80,0,0.214285714,0.149568552,0.19047619,0.125,0.145728643,0.146864686,0.134529148,0.170068027,0.144009217,0.072463768,0.049019608,0.164285714,0.255319149,0.228571429,0.104364326,0.119402985,0.160771704,0.206521739,0.244057052,0,0.211382114,0.142217245,0.122222222,0.118518519,0.210526316,0.143518519,0.125,4.1
302,19501 to 20000,10,5,16,21,3,3,21,2,2,4,22,No,1,Divorced,3,Research Director,5,1,Female,2,Life Sciences,1,7,Research & Development,Non-Travel,41,No,247,1,1035,55,19973,20284,Y,80,0,0.15,0.08,0.138397503,0.130952381,0.182352941,0.146864686,0.149825784,0.147959184,0.337349398,0.072463768,0.025,0.165158371,0.100917431,0.188099808,0.104364326,0.214285714,0.163716814,0.148514851,0.075949367,0.029411765,0.140529532,0.142217245,0.071428571,0,0.044444444,0.111111111,0.125,3.4
303,19501 to 20000,4,1,9,10,3,0,35,1,1,3,18,Yes,4,Married,2,Manager,5,4,Male,3,Human Resources,4,26,Human Resources,Travel_Rarely,55,No,189,1,1973,71,19636,25811,Y,80,0,0.136363636,0.149568552,0.19047619,0.12,0.145728643,0.259259259,0.136865342,0.170068027,0.090277778,0.072463768,0.049019608,0.164285714,0.124814264,0.122302158,0.305288462,0.146067416,0.160771704,0.206521739,0.093959732,0,0.277777778,0.142217245,0.15,0.089552239,0.137254902,0.112244898,0.125,3.9
304,19501 to 20000,13,2,6,36,3,3,36,1,3,4,21,No,1,Married,4,Manager,5,2,Male,3,Marketing,5,26,Sales,Travel_Rarely,55,No,685,1,1578,60,19586,23037,Y,80,0,0.136363636,0.149568552,0.206278027,0.12,0.104166667,0.220125786,0.136865342,0.170068027,0.189333333,0.072463768,0.049019608,0.11328976,0.124814264,0.188099808,0.104364326,0.104166667,0.163716814,0.154684096,0.093959732,0,0.140529532,0.142217245,0,0.054054054,0.169811321,0,0.125,3.2
305,19501 to 20000,9,6,14,32,3,3,33,1,4,3,15,No,1,Married,4,Manager,5,1,Female,1,Marketing,1,2,Sales,Travel_Rarely,52,Yes,266,1,1038,57,19845,25846,Y,80,1,0.166666667,0.149568552,0.206278027,0.132701422,0.182352941,0.220125786,0.253521127,0.147959184,0.337349398,0.072463768,0.049019608,0.11328976,0.124814264,0.188099808,0.104364326,0.178217822,0.160771704,0.148148148,0.093959732,0.142857143,0.140529532,0.142217245,0.333333333,0.090909091,0.1875,0.09375,0.125,4.3
306,19501 to 20000,9,4,7,20,4,2,21,0,1,3,14,No,1,Single,3,Research Director,5,2,Male,3,Medical,3,14,Research & Development,Travel_Rarely,40,No,1308,1,1128,44,19626,17544,Y,80,0,0.087719298,0.149568552,0.138397503,0.19047619,0.173076923,0.135775862,0.136865342,0.170068027,0.189333333,0.072463768,0.025,0.165158371,0.255319149,0.188099808,0.104364326,0.119402985,0.160771704,0.206521739,0.244057052,0.029411765,0.179159049,0.176470588,0.037037037,0.13963964,0.081967213,0.09375,0.125,3.8
307,19501 to 20000,15,15,18,20,3,5,23,0,3,3,13,No,7,Single,3,Research Director,5,3,Male,1,Life Sciences,3,6,Research & Development,Travel_Rarely,51,No,684,1,162,51,19537,6462,Y,80,0,0.105263158,0.149568552,0.138397503,0.118644068,0.173076923,0.146864686,0.253521127,0.170068027,0.144009217,0.072463768,0.025,0.165158371,0.255319149,0.22972973,0.104364326,0.162679426,0.160771704,0.154684096,0.244057052,0.090909091,0.117647059,0.142217245,0.037037037,0,0.230769231,0,0.125,3.7
